HF Exchange (%),Band Gap (eV)
0,1.3370999999999995
1,1.5201000000000002
2,1.7042000000000002
3,1.8892000000000007
4,2.0764000000000005
5,2.2636000000000003
6,2.4513999999999996
7,2.6401000000000003
8,2.8297999999999996
9,3.0201000000000002
10,3.2113000000000005
11,3.4032999999999998
12,3.5960000000000005
13,3.7898
14,3.984
15,4.1787
16,4.3741
17,4.509399999999999
18,4.623100000000001
19,4.736800000000001
20,4.8508
21,4.964700000000001
22,5.078899999999999
23,5.193100000000001
24,5.307400000000001
25,5.422000000000001
26,5.536599999999998
27,5.651300000000001
28,5.766300000000001
29,5.881399999999999
30,5.996700000000001
31,6.1122
32,6.2278
33,6.3436
34,6.4596
35,6.5758
36,6.692199999999999
37,6.808700000000001
38,6.925599999999999
39,7.0424999999999995
40,7.159700000000001
41,7.277000000000001
42,7.394500000000001
43,7.5123999999999995
44,7.630299999999999
45,7.7485
46,7.8669
47,7.985499999999999
48,8.1043
49,8.2233
50,8.342500000000001
51,8.4619
52,8.5815
53,8.7014
54,8.8213
55,8.941600000000001
56,9.0621
57,9.1858
58,9.3066
59,9.4277
60,9.5489
61,9.670399999999999
62,9.792000000000002
63,9.9138
64,10.0359
65,10.158100000000001
66,10.2804
67,10.4031
68,10.5259
69,10.6489
70,10.7721
71,10.895499999999998
72,11.0191
73,11.142900000000001
74,11.2669
75,11.391
76,11.515400000000001
77,11.6399
78,11.760100000000001
79,11.8848
80,12.0097
81,12.134900000000002
82,12.2601
83,12.3856
84,12.5112
85,12.636899999999999
86,12.7629
87,12.8889
88,13.0153
89,13.1418
90,13.268500000000001
91,13.3954
92,13.5223
93,13.6494
94,13.7768
95,13.9042
96,14.108699999999999
97,14.2388
98,14.369200000000001
99,14.4997
100,14.4021
