График 1
HF Exchange (%)	Energy (eV)
0	-87.88489799
1	-89.19995763
2	-90.51733471
3	-91.83702138
4	-93.15901262
5	-94.4832979
6	-95.80987237
7	-97.13873084
8	-98.46986077
9	-99.80325801
10	-101.13891584
11	-102.47682601
12	-103.81698502
13	-105.15938421
14	-106.50401293
15	-107.85086503
16	-109.19993493
17	-110.55121366
18	-111.90469383
19	-113.26036895
20	-114.61823356
21	-115.97827501
22	-117.34049072
23	-118.70487261
24	-120.07141437
25	-121.44010418
26	-122.81093627
27	-124.18390719
28	-125.55900297
29	-126.93622083
30	-128.31555467
31	-129.69699411
32	-131.08052787
33	-132.46615398
34	-133.85386526
35	-135.2436501
36	-136.63479753
37	-138.02872002
38	-139.42469511
39	-140.82271154
40	-142.2227682
41	-143.62485538
42	-145.02896636
43	-146.43508961
44	-147.84322147
45	-149.25335904
46	-150.66548682
47	-152.07960205
48	-153.49569304
49	-154.91375635
50	-156.33378193
51	-157.75575806
52	-159.17968825
53	-160.60555474
54	-162.03335383
55	-163.46307829
56	-164.89472071
57	-166.32827261
58	-167.76372924
59	-169.20107927
60	-170.64031824
61	-172.08143722
62	-173.52442453
63	-174.9692771
64	-176.41598309
65	-177.86454619
66	-179.31494857
67	-180.76718496
68	-182.22124564
69	-183.67712555
70	-185.13481505
71	-186.59430998
72	-188.05560073
73	-189.51867175
74	-190.98352978
75	-192.45015781
76	-193.91854507
77	-195.38668837
78	-196.85864232
79	-198.33235713
80	-199.80781063
81	-201.28499695
82	-202.76391207
83	-204.24456144
84	-205.72691758
85	-207.21097869
86	-208.69674226
87	-210.18419607
88	-211.67333059
89	-213.164147
90	-214.65656583
91	-216.15060543
92	-217.64631477
93	-219.14367026
94	-220.64268054
95	-222.14331049
96	-223.64558279
97	-225.14947791
98	-226.65497792
99	-228.16207313
100	-215.93941241

График 2
HF Exchange (%)	Band Gap (eV)
0	3.0067000000000004
1	3.0995999999999997
2	3.1930999999999994
3	3.2869
4	3.3811
5	3.4759
6	3.5711999999999997
7	3.6668999999999996
8	3.7628999999999997
9	3.8594999999999997
10	3.9564999999999997
11	4.053999999999999
12	4.1518999999999995
13	4.2501999999999995
14	4.3488999999999995
15	4.448200000000001
16	4.5477
17	4.6476999999999995
18	4.7482
19	4.849
20	4.9502
21	5.0518
22	5.1539
23	5.2562999999999995
24	5.3591999999999995
25	5.4623
26	5.565799999999999
27	5.6697
28	5.773999999999999
29	5.8786000000000005
30	5.9837
31	6.0891
32	6.1948
33	6.3009
34	6.4074
35	6.5141
36	6.6177
37	6.725099999999999
38	6.8328999999999995
39	6.940300000000001
40	7.0471
41	7.1542
42	7.2616000000000005
43	7.3693
44	7.4773
45	7.585699999999999
46	7.6942
47	7.8031
48	7.9123
49	8.021799999999999
50	8.131599999999999
51	8.241700000000002
52	8.352
53	8.462599999999998
54	8.5735
55	8.6846
56	8.7961
57	8.9078
58	9.0197
59	9.132000000000001
60	9.244399999999999
61	9.3571
62	9.470199999999998
63	9.5834
64	9.696900000000001
65	9.8107
66	9.924499999999998
67	10.038699999999999
68	10.1531
69	10.267700000000001
70	10.382399999999999
71	10.4974
72	10.612400000000001
73	10.727799999999998
74	10.8433
75	10.9587
76	11.0743
77	11.162999999999998
78	11.2777
79	11.3925
80	11.5076
81	11.622799999999998
82	11.7379
83	11.8536
84	11.9693
85	12.084999999999999
86	12.201
87	12.317400000000001
88	12.434000000000001
89	12.550500000000001
90	12.686699999999998
91	12.803500000000001
92	12.920200000000001
93	13.037400000000002
94	13.1545
95	13.271899999999999
96	13.389500000000002
97	13.5074
98	13.625399999999999
99	13.743200000000002
100	14.005500000000001
